               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,      metrics/1m_mAP,      metrics/1p_mAP,      metrics/1s_mAP,      metrics/1z_mAP,      metrics/2m_mAP,      metrics/2p_mAP,      metrics/2s_mAP,      metrics/2z_mAP,      metrics/3m_mAP,      metrics/3p_mAP,      metrics/3s_mAP,      metrics/3z_mAP,      metrics/4m_mAP,      metrics/4p_mAP,      metrics/4s_mAP,      metrics/4z_mAP,      metrics/5m_mAP,      metrics/5p_mAP,      metrics/5s_mAP,      metrics/5z_mAP,      metrics/6m_mAP,      metrics/6p_mAP,      metrics/6s_mAP,      metrics/6z_mAP,      metrics/7m_mAP,      metrics/7p_mAP,      metrics/7s_mAP,      metrics/7z_mAP,      metrics/8m_mAP,      metrics/8p_mAP,      metrics/8s_mAP,      metrics/9m_mAP,      metrics/9p_mAP,      metrics/9s_mAP,   metrics/1m_mAP_50,   metrics/1p_mAP_50,   metrics/1s_mAP_50,   metrics/1z_mAP_50,   metrics/2m_mAP_50,   metrics/2p_mAP_50,   metrics/2s_mAP_50,   metrics/2z_mAP_50,   metrics/3m_mAP_50,   metrics/3p_mAP_50,   metrics/3s_mAP_50,   metrics/3z_mAP_50,   metrics/4m_mAP_50,   metrics/4p_mAP_50,   metrics/4s_mAP_50,   metrics/4z_mAP_50,   metrics/5m_mAP_50,   metrics/5p_mAP_50,   metrics/5s_mAP_50,   metrics/5z_mAP_50,   metrics/6m_mAP_50,   metrics/6p_mAP_50,   metrics/6s_mAP_50,   metrics/6z_mAP_50,   metrics/7m_mAP_50,   metrics/7p_mAP_50,   metrics/7s_mAP_50,   metrics/7z_mAP_50,   metrics/8m_mAP_50,   metrics/8p_mAP_50,   metrics/8s_mAP_50,   metrics/9m_mAP_50,   metrics/9p_mAP_50,   metrics/9s_mAP_50
                  20,            0.029555,            0.026573,            0.014395,             0.98586,             0.97851,             0.98934,             0.77771,             0.02079,            0.034255,           0.0070449,            0.008119,            0.008119,            0.008119,             0.77046,             0.78605,             0.82749,             0.77304,             0.76961,             0.77475,             0.81059,             0.77834,             0.77905,             0.76738,             0.78406,             0.76001,             0.73434,             0.78721,             0.79984,             0.79253,             0.78123,             0.75081,             0.76074,             0.74278,              0.7849,             0.79814,             0.78449,             0.85725,             0.78286,             0.72581,             0.73967,             0.79354,             0.80673,             0.78509,              0.7755,             0.79161,             0.76327,             0.72302,               0.995,               0.995,             0.99491,             0.97225,             0.99475,               0.995,               0.995,             0.99275,             0.98077,               0.995,             0.99447,               0.995,             0.99286,               0.995,               0.995,              0.9864,             0.99222,             0.99472,             0.98709,             0.96387,             0.97012,             0.98894,             0.99239,             0.98339,             0.98367,             0.97533,               0.995,               0.995,             0.99479,               0.995,             0.99394,             0.97997,             0.99329,             0.98956
                  21,             0.02867,            0.025533,            0.013793,             0.98702,              0.9816,              0.9899,             0.79982,            0.020023,            0.033409,           0.0069013,             0.00802,             0.00802,             0.00802,             0.81628,             0.78837,             0.81622,              0.7719,             0.79244,             0.77956,             0.82873,             0.82793,             0.78568,             0.78957,             0.79889,             0.75574,             0.77941,             0.81862,             0.83003,             0.80889,             0.78926,             0.77489,             0.81703,             0.76811,             0.78182,             0.79737,              0.8023,             0.83696,             0.80346,             0.76585,             0.76009,             0.81667,             0.82237,             0.81093,             0.82682,             0.81705,             0.78701,             0.82764,             0.99492,             0.98519,               0.995,             0.95592,               0.995,               0.995,               0.995,             0.99485,             0.98467,               0.995,             0.99399,             0.99481,               0.995,               0.995,             0.99466,             0.99415,             0.99421,             0.99498,               0.995,             0.97598,             0.95946,             0.98183,               0.995,             0.98733,             0.98192,             0.98834,             0.99288,               0.995,             0.99493,               0.995,               0.995,             0.98621,             0.99034,               0.995
                  22,            0.027811,            0.024709,             0.01347,              0.9807,             0.97715,             0.98807,             0.79467,            0.020254,            0.033361,           0.0069734,            0.007921,            0.007921,            0.007921,             0.78168,             0.82238,             0.83878,             0.77348,              0.7964,             0.77159,             0.83632,             0.80378,             0.76846,             0.80485,             0.81524,             0.78435,             0.75735,              0.8037,             0.80734,             0.81517,             0.81039,             0.77361,             0.79487,             0.76151,             0.75851,             0.78772,             0.81697,              0.8035,             0.77903,             0.77482,             0.72811,              0.7999,             0.81072,             0.80067,             0.80717,             0.81379,              0.7944,             0.82216,             0.99483,               0.995,               0.995,             0.97706,              0.9839,               0.995,               0.995,             0.98818,             0.95784,               0.995,             0.99488,               0.995,              0.9932,               0.995,               0.995,               0.995,             0.99495,             0.99452,             0.99496,             0.97286,             0.95132,             0.98093,               0.995,             0.97164,             0.97217,             0.98977,             0.99055,               0.995,             0.98053,               0.995,               0.995,             0.98569,             0.99455,               0.995
                  23,            0.027801,            0.024771,            0.012999,             0.98189,             0.97802,             0.98689,             0.77527,            0.021197,            0.034008,           0.0070566,            0.007822,            0.007822,            0.007822,             0.79798,             0.79464,             0.81995,             0.75908,             0.75188,             0.72961,             0.85666,              0.7844,             0.74828,             0.76558,             0.80629,             0.75209,             0.73824,             0.78358,             0.80182,             0.79655,             0.75977,             0.75091,             0.77577,             0.78313,             0.76377,             0.78301,             0.79003,             0.83856,             0.73645,             0.73218,             0.75373,             0.75946,              0.7766,             0.77921,             0.77678,             0.78012,             0.74132,             0.79166,             0.99418,               0.995,             0.99374,             0.96468,             0.99412,               0.995,               0.995,             0.99427,             0.96401,               0.995,             0.99466,             0.95919,               0.995,               0.995,             0.99186,             0.99278,             0.99363,               0.995,             0.99138,             0.96776,             0.95422,             0.97667,             0.99238,             0.99145,             0.97921,             0.97134,             0.99244,               0.995,             0.99488,               0.995,             0.99192,             0.96841,             0.99494,               0.995
                  24,             0.02781,             0.02489,            0.012851,             0.98246,             0.97923,             0.98918,             0.80441,            0.019618,            0.032445,           0.0068692,            0.007723,            0.007723,            0.007723,             0.81538,             0.79182,             0.82901,             0.76591,             0.81045,             0.76614,              0.8535,             0.81989,             0.76157,             0.79878,             0.81826,             0.79711,             0.79279,             0.82142,             0.81992,             0.81044,             0.81103,             0.79601,             0.78962,             0.81877,             0.80344,             0.82545,             0.78949,             0.81227,             0.79894,              0.7815,              0.7516,             0.82263,             0.82649,             0.81851,             0.81383,             0.80158,             0.79597,              0.8206,             0.99378,               0.995,               0.995,             0.96616,             0.99203,               0.995,               0.995,             0.99478,             0.95138,               0.995,             0.99304,               0.995,               0.995,               0.995,               0.995,              0.9906,               0.995,             0.99495,             0.99498,             0.99404,             0.95022,             0.98717,               0.995,              0.9798,             0.97014,             0.99237,               0.995,               0.995,             0.99417,               0.995,             0.99487,             0.97819,             0.99446,               0.995
                  25,            0.027143,            0.024603,            0.012753,             0.98036,             0.97884,             0.98984,             0.79735,            0.019827,            0.033003,           0.0070565,            0.007624,            0.007624,            0.007624,              0.8129,             0.80344,             0.81878,             0.78243,             0.79683,             0.78266,              0.8624,             0.79299,             0.78837,             0.77204,              0.8114,             0.79195,             0.76911,             0.83958,             0.80021,             0.81095,             0.80277,             0.79333,             0.79027,             0.78733,             0.79003,             0.79918,             0.80047,             0.83762,             0.79377,             0.71818,             0.73389,             0.81158,             0.82656,             0.80213,             0.80247,             0.81801,             0.78725,             0.77891,             0.99476,               0.995,             0.99498,             0.96634,             0.99033,               0.995,             0.99493,             0.99444,             0.97854,               0.995,             0.98684,             0.99389,             0.99483,               0.995,             0.98963,             0.98972,             0.98868,               0.995,             0.99492,             0.96099,             0.97485,             0.99432,             0.99227,             0.97434,              0.9871,              0.9944,             0.99492,             0.99456,             0.98998,               0.995,             0.99466,             0.99253,             0.99184,             0.99493
                  26,            0.026962,            0.023989,            0.012577,             0.98427,             0.98206,             0.98838,             0.79813,            0.019954,            0.033034,           0.0064071,            0.007525,            0.007525,            0.007525,             0.82206,              0.7964,             0.81991,               0.768,             0.79158,             0.77675,             0.86072,             0.79501,             0.76433,             0.78943,             0.81785,             0.79292,             0.77722,             0.83258,             0.81096,             0.79406,              0.8059,             0.79995,             0.78173,             0.77383,             0.80466,             0.82905,              0.7983,             0.82086,             0.79292,             0.76871,             0.72697,             0.81989,             0.81183,              0.7955,             0.79317,             0.81697,             0.78763,             0.79868,             0.99488,               0.995,             0.99441,                0.98,             0.96272,               0.995,               0.995,               0.995,             0.94676,               0.995,             0.99286,             0.99498,               0.995,               0.995,               0.995,              0.9874,             0.99476,               0.995,             0.99487,             0.95847,             0.97225,             0.99204,               0.995,             0.99412,             0.96583,             0.99218,             0.99135,               0.995,               0.995,               0.995,               0.995,             0.97538,             0.99465,               0.995
                  27,            0.026356,            0.023653,             0.01227,             0.98686,             0.98247,              0.9911,             0.80714,            0.019363,            0.032475,           0.0061197,            0.007426,            0.007426,            0.007426,             0.81473,             0.80745,             0.82939,             0.78978,             0.79615,             0.78296,             0.85591,             0.83979,             0.78221,             0.78108,             0.81289,             0.78848,             0.78091,             0.82938,             0.83371,             0.82116,             0.80862,             0.79705,             0.79166,             0.80692,             0.79311,             0.81182,             0.78897,             0.84171,              0.7933,             0.77471,              0.7467,             0.83428,             0.83624,             0.81318,             0.83371,             0.82392,             0.78428,             0.81672,               0.995,             0.99494,               0.995,             0.98149,             0.99492,               0.995,               0.995,             0.99465,             0.97245,               0.995,             0.98704,               0.995,               0.995,               0.995,               0.995,             0.99351,             0.99492,             0.99497,             0.99467,             0.97859,             0.97332,             0.99494,             0.99168,              0.9886,             0.97823,               0.995,              0.9889,               0.995,             0.99493,               0.995,               0.995,             0.97966,             0.99487,               0.995
                  28,             0.02667,            0.024059,            0.011797,             0.98739,             0.98571,             0.99151,             0.81786,            0.018656,            0.031655,           0.0058516,            0.007327,            0.007327,            0.007327,              0.8291,             0.80901,             0.84349,             0.79496,              0.8168,             0.81959,             0.84188,             0.82379,             0.77256,             0.80748,             0.82863,             0.80267,             0.79672,             0.84344,             0.82016,             0.82213,             0.81342,             0.80721,             0.82454,             0.83335,             0.79222,             0.82619,             0.80014,              0.8595,             0.82894,             0.76792,             0.76688,             0.83902,             0.83718,             0.82347,             0.83584,             0.85267,             0.80918,              0.8173,               0.995,               0.995,               0.995,             0.97382,             0.99317,               0.995,               0.995,             0.99493,             0.97125,               0.995,             0.99488,             0.99498,             0.99498,               0.995,             0.98974,             0.98831,             0.99235,               0.995,             0.99489,             0.98139,             0.96475,               0.995,             0.99464,             0.99448,             0.99447,               0.995,             0.98596,               0.995,             0.99488,               0.995,               0.995,             0.99456,             0.99298,               0.995
                  29,            0.026422,            0.023872,            0.011912,             0.98222,             0.97809,             0.98875,             0.80706,            0.019219,            0.032105,             0.00651,            0.007228,            0.007228,            0.007228,             0.80371,             0.81302,             0.85687,             0.78327,             0.80172,             0.80325,             0.82232,             0.83235,             0.76313,             0.77108,             0.82791,             0.79269,             0.78125,             0.82859,              0.8308,             0.81975,              0.8054,             0.81389,             0.79067,             0.78212,             0.78607,             0.81734,             0.81184,              0.8466,             0.80625,             0.78155,              0.7798,             0.82922,             0.82898,             0.80545,             0.81519,             0.82142,             0.79297,             0.79355,             0.99485,               0.995,               0.995,             0.97209,             0.99007,               0.995,               0.995,             0.99312,             0.95398,               0.995,             0.99225,               0.995,               0.995,               0.995,               0.995,             0.98428,             0.98031,             0.99027,             0.98478,              0.9642,             0.96094,              0.9931,               0.995,             0.99279,             0.98508,             0.99451,             0.99413,               0.995,             0.99457,               0.995,               0.995,             0.98466,             0.98754,             0.99496
                  30,            0.026292,            0.023538,            0.011759,             0.98799,             0.98255,             0.99057,             0.80706,            0.019166,            0.032038,           0.0057413,            0.007129,            0.007129,            0.007129,             0.82727,             0.80142,             0.83698,             0.79613,             0.81707,             0.79186,             0.86826,              0.8322,             0.75582,             0.77906,             0.81119,              0.7906,             0.77406,              0.8077,              0.8186,             0.81876,                0.82,             0.79215,             0.80366,             0.80814,             0.80539,             0.81774,             0.81156,             0.84987,             0.79004,             0.75842,             0.76765,             0.80004,             0.81408,             0.82129,             0.82717,             0.82894,             0.78283,             0.81404,               0.995,               0.995,               0.995,             0.97074,             0.99215,               0.995,               0.995,             0.99425,             0.95244,               0.995,             0.99477,             0.98985,               0.995,               0.995,               0.995,             0.99267,             0.99492,               0.995,               0.995,             0.97487,             0.96984,             0.99498,               0.995,             0.99443,             0.98478,             0.99079,             0.99494,             0.99034,              0.9895,               0.995,               0.995,             0.99406,             0.99442,             0.99476
                  31,            0.025746,            0.023465,            0.011547,             0.98887,             0.98729,             0.99209,             0.81036,            0.019147,             0.03193,           0.0055014,             0.00703,             0.00703,             0.00703,             0.82768,             0.83037,             0.84602,             0.79556,             0.81051,             0.79587,             0.86999,             0.81924,             0.77877,             0.80643,             0.82411,             0.78742,             0.77533,             0.84106,             0.81654,              0.8276,             0.82318,             0.82313,              0.7844,             0.78809,               0.798,              0.8303,             0.79478,              0.8579,             0.80227,             0.74847,             0.79405,             0.79821,             0.81682,             0.82153,             0.81761,             0.82213,             0.77455,             0.80415,               0.995,               0.995,               0.995,             0.97786,             0.99442,               0.995,               0.995,             0.99452,             0.97086,               0.995,               0.995,             0.99337,               0.995,               0.995,               0.995,              0.9939,               0.995,             0.99493,             0.99299,             0.97881,             0.97215,               0.995,             0.99498,             0.99238,             0.99159,             0.99446,              0.9949,              0.9943,               0.995,               0.995,             0.99495,             0.98977,               0.995,               0.995
                  32,            0.026011,            0.023585,             0.01139,              0.9894,             0.98323,             0.99137,             0.81157,            0.019025,            0.031971,           0.0057022,            0.006931,            0.006931,            0.006931,             0.81286,             0.82147,             0.84073,               0.796,             0.79904,             0.79416,             0.87168,             0.83551,                0.78,             0.80603,             0.81645,             0.80606,              0.7844,             0.83054,             0.82765,              0.8077,              0.7972,             0.80133,             0.80991,             0.79646,             0.80636,             0.81228,             0.83108,             0.86064,              0.8013,             0.75618,             0.77737,             0.81948,             0.83326,             0.82217,             0.81163,             0.83019,             0.78962,             0.80658,               0.995,               0.995,               0.995,             0.97866,             0.99107,               0.995,             0.99456,             0.99489,             0.98344,               0.995,             0.99028,               0.995,               0.995,               0.995,               0.995,             0.98681,             0.99112,             0.99493,               0.995,             0.97391,             0.98216,             0.99071,               0.995,               0.995,             0.98814,             0.98861,               0.995,               0.995,             0.99128,               0.995,               0.995,             0.97635,             0.99464,               0.995
                  33,            0.025555,            0.022934,            0.011371,               0.987,             0.98094,              0.9909,             0.81354,            0.018941,            0.031726,           0.0057849,            0.006832,            0.006832,            0.006832,             0.83196,              0.8232,             0.84735,             0.81949,             0.82177,             0.79544,             0.86743,             0.83165,             0.78253,             0.80375,             0.81528,             0.79963,             0.79577,              0.8314,             0.81311,             0.82218,             0.80598,             0.80348,             0.79979,               0.816,             0.81487,             0.81106,              0.8154,             0.87021,             0.80764,             0.73071,             0.76286,             0.83314,             0.82248,             0.81901,             0.80171,             0.82692,             0.80178,             0.81524,               0.995,               0.995,             0.99395,             0.98542,             0.99242,               0.995,               0.995,             0.99478,             0.98251,               0.995,             0.98838,             0.99434,               0.995,               0.995,             0.99474,             0.99457,             0.99475,             0.99458,             0.99492,             0.97539,             0.97473,             0.99391,               0.995,             0.99395,             0.97288,             0.98973,             0.99095,               0.995,             0.99498,               0.995,             0.99227,             0.97017,             0.99125,               0.995
                  34,              0.0255,            0.022977,            0.011316,             0.98643,             0.98542,             0.98887,              0.8145,            0.018728,            0.031748,           0.0056399,            0.006733,            0.006733,            0.006733,             0.82865,              0.8201,             0.85297,             0.82291,             0.82755,                0.79,             0.86727,              0.8317,              0.7556,             0.80811,             0.83137,             0.80825,             0.80211,             0.82195,             0.84139,             0.82035,             0.82899,             0.80782,             0.81324,             0.78977,             0.75537,             0.82319,             0.81761,             0.84207,             0.81101,             0.76089,             0.76862,             0.81947,             0.82758,             0.81298,             0.82068,             0.83913,             0.80549,             0.81886,               0.995,               0.995,               0.995,             0.98709,             0.99232,               0.995,               0.995,               0.995,             0.94469,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99498,               0.995,             0.99498,               0.995,               0.995,             0.94765,             0.91601,               0.995,               0.995,             0.99017,             0.99344,             0.99494,             0.99442,               0.995,             0.99131,               0.995,             0.99472,             0.98496,             0.99481,               0.995
                  35,            0.025181,            0.023108,            0.010899,             0.98681,             0.98643,             0.99193,             0.80127,             0.01926,            0.032175,            0.005462,            0.006634,            0.006634,            0.006634,             0.80149,             0.82475,             0.84035,              0.8008,             0.81782,             0.80154,             0.85168,             0.82258,              0.7701,             0.77473,             0.79299,             0.77629,             0.78442,             0.80651,             0.81462,             0.81897,             0.81954,             0.77902,             0.77292,             0.80688,             0.79435,             0.81375,             0.79901,             0.86717,             0.79062,             0.73656,             0.73125,             0.81825,             0.83306,             0.80178,             0.79348,             0.81756,             0.77851,             0.78976,             0.99113,               0.995,               0.995,             0.97973,             0.99488,               0.995,               0.995,              0.9947,             0.97314,               0.995,             0.98422,             0.99447,              0.9947,               0.995,             0.99439,               0.995,             0.99494,               0.995,             0.99294,             0.98923,             0.97712,             0.99484,               0.995,               0.995,             0.99155,             0.99214,             0.99237,               0.995,             0.99126,               0.995,               0.995,             0.98317,             0.99487,               0.995
                  36,            0.025276,            0.022631,            0.010904,             0.98835,               0.986,             0.98995,              0.8017,            0.019179,            0.032423,           0.0056129,            0.006535,            0.006535,            0.006535,             0.80821,             0.81478,             0.82409,              0.7772,             0.80037,             0.79696,             0.85851,             0.82413,             0.77565,             0.79126,             0.80572,             0.78886,             0.79049,             0.81773,             0.79257,             0.82453,             0.79684,             0.78587,             0.78616,             0.78708,             0.80582,             0.80073,             0.80578,             0.85318,             0.81189,             0.71681,             0.74568,             0.80771,             0.83333,             0.79452,             0.80735,             0.83814,             0.78142,             0.80839,               0.995,               0.995,               0.995,             0.94889,               0.995,               0.995,               0.995,             0.99448,             0.94851,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99146,               0.995,               0.995,             0.99496,             0.96285,             0.96411,               0.995,               0.995,             0.99287,             0.98955,             0.99287,              0.9949,               0.995,               0.995,               0.995,             0.99492,             0.99304,             0.99492,               0.995
                  37,            0.025036,            0.023029,            0.010872,             0.98941,             0.98596,             0.99181,             0.81679,            0.018748,            0.031784,           0.0053208,            0.006436,            0.006436,            0.006436,             0.83022,              0.8235,             0.84055,             0.79416,             0.82098,             0.79756,             0.87237,             0.81509,             0.79123,             0.81912,             0.81924,             0.80282,             0.79543,             0.84237,             0.82787,             0.82807,             0.82325,             0.80494,             0.79213,             0.82071,             0.81281,             0.81891,             0.81444,             0.84035,              0.8085,             0.77505,             0.77814,             0.82839,             0.84119,             0.81383,             0.81037,             0.84169,             0.81089,             0.81476,             0.99453,               0.995,               0.995,             0.96782,             0.99086,               0.995,             0.99497,             0.99484,             0.97476,               0.995,             0.99493,               0.995,               0.995,               0.995,               0.995,             0.99407,             0.99438,               0.995,             0.99487,             0.97518,             0.97182,             0.99484,               0.995,             0.99356,             0.99236,             0.99289,               0.995,               0.995,               0.995,               0.995,               0.995,             0.98975,               0.995,               0.995
                  38,            0.025012,            0.023316,            0.010874,             0.99095,             0.98692,             0.99236,             0.81034,            0.018716,            0.031696,           0.0048964,            0.006337,            0.006337,            0.006337,             0.81393,             0.82617,             0.82234,             0.82547,             0.79424,             0.78666,             0.87162,             0.82943,             0.79381,             0.78968,             0.81756,             0.80074,             0.76677,             0.81133,             0.82122,             0.82799,             0.82919,             0.78931,             0.78273,              0.8148,             0.78663,             0.81769,             0.82298,             0.86929,             0.80374,             0.74506,             0.75999,             0.83714,             0.84351,             0.82203,             0.80796,             0.84287,             0.77025,             0.80748,             0.99435,               0.995,               0.995,             0.98788,             0.99438,               0.995,               0.995,               0.995,             0.97167,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99322,               0.995,              0.9949,               0.995,             0.98592,             0.97139,               0.995,             0.99481,             0.99146,              0.9841,               0.995,             0.99158,               0.995,             0.99498,               0.995,               0.995,             0.98982,              0.9948,               0.995
                  39,            0.024838,            0.022695,            0.010514,               0.988,             0.98595,             0.99134,             0.81545,            0.018598,            0.031643,           0.0051131,            0.006238,            0.006238,            0.006238,             0.81957,             0.81974,             0.83719,             0.80836,             0.81121,              0.7894,             0.85407,             0.82988,             0.80607,             0.80794,             0.82108,             0.81232,             0.79427,             0.81945,             0.82228,             0.83166,             0.82691,             0.81247,             0.79947,             0.80917,             0.80419,             0.82174,             0.81929,             0.84154,             0.80923,             0.75657,             0.77025,             0.83316,              0.8231,              0.8249,             0.81587,             0.85075,             0.80316,             0.81899,               0.995,               0.995,               0.995,              0.9772,             0.99181,               0.995,               0.995,               0.995,             0.98306,               0.995,             0.99255,             0.99453,               0.995,               0.995,             0.99295,             0.99472,             0.99495,               0.995,               0.995,             0.96652,             0.97573,             0.99435,               0.995,             0.98144,             0.98805,             0.99477,             0.98898,               0.995,             0.98695,               0.995,               0.995,             0.99232,             0.99475,               0.995
                  40,            0.024252,            0.022002,            0.010477,             0.98957,             0.98828,             0.99101,             0.81552,            0.018707,            0.031763,           0.0049216,            0.006139,            0.006139,            0.006139,             0.82066,             0.82942,             0.85269,             0.79744,             0.79638,              0.7912,             0.87419,             0.84224,             0.80635,             0.80288,             0.82679,             0.80377,             0.80849,             0.81896,             0.83987,             0.83591,             0.82083,             0.80502,             0.80554,             0.78413,             0.80978,             0.81726,             0.81679,              0.8615,             0.80524,             0.72632,             0.77826,             0.82602,             0.84817,             0.81716,             0.81558,             0.83013,             0.79388,              0.8189,               0.995,               0.995,               0.995,             0.97095,             0.99335,               0.995,               0.995,             0.99496,             0.98223,               0.995,               0.995,             0.99452,               0.995,               0.995,               0.995,               0.995,               0.995,             0.98208,               0.995,             0.95336,             0.98454,             0.99387,               0.995,             0.99439,             0.99056,             0.99066,             0.99482,               0.995,             0.99359,               0.995,               0.995,             0.97555,             0.99487,               0.995
                  41,            0.024444,             0.02259,            0.010364,             0.98779,             0.98493,             0.98987,             0.82117,             0.01843,            0.031506,           0.0051577,             0.00604,             0.00604,             0.00604,              0.8265,             0.81682,             0.83769,             0.79764,             0.80733,             0.79676,             0.88251,             0.83762,              0.8205,             0.80497,             0.83577,             0.80613,             0.81281,             0.83275,             0.82582,             0.84319,             0.83204,             0.81884,              0.8047,             0.80441,             0.80375,              0.8254,             0.81991,             0.83261,             0.82188,             0.76967,             0.79766,             0.84559,             0.82141,             0.81952,             0.82983,             0.84968,             0.81899,             0.81914,             0.99498,               0.995,               0.995,             0.97149,             0.98711,               0.995,               0.995,             0.99485,             0.97496,               0.995,             0.99452,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99484,               0.995,             0.99496,             0.96963,             0.96068,               0.995,               0.995,             0.94479,             0.98888,             0.99324,             0.99492,               0.995,             0.99491,               0.995,             0.99493,             0.99202,             0.99378,               0.995
                  42,            0.024075,            0.021682,            0.010315,             0.98794,              0.9863,             0.99127,             0.81448,            0.018582,            0.031472,           0.0050359,            0.005941,            0.005941,            0.005941,             0.81449,             0.82468,             0.83919,             0.81513,             0.80421,             0.79279,             0.88524,             0.82202,             0.80294,             0.79004,             0.82878,             0.80071,             0.78781,             0.82949,             0.82049,             0.84374,             0.82546,             0.78264,             0.80625,             0.81274,              0.7923,              0.8164,             0.83634,             0.87167,             0.80442,             0.73458,             0.78499,             0.83228,             0.81317,             0.81997,             0.81364,              0.8456,             0.79678,             0.80151,             0.99492,             0.98526,             0.99458,             0.98285,               0.995,               0.995,               0.995,               0.995,             0.96791,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,               0.995,             0.99462,               0.995,               0.995,             0.97413,             0.96411,               0.995,               0.995,             0.99376,             0.98925,             0.98977,               0.995,               0.995,             0.99479,               0.995,             0.99474,             0.98401,             0.99343,               0.995
                  43,            0.023966,            0.022352,            0.010203,              0.9905,             0.98804,             0.99244,             0.82031,            0.018552,            0.031527,           0.0047731,            0.005842,            0.005842,            0.005842,             0.82318,             0.81117,             0.86292,             0.80762,             0.82749,             0.79052,             0.86471,             0.83549,             0.80058,             0.80667,             0.82081,             0.80818,             0.80618,             0.83247,             0.83965,             0.82908,             0.83987,             0.80062,             0.80639,             0.80985,                0.81,             0.82805,             0.82732,             0.86071,             0.81607,              0.7749,             0.76743,             0.83319,             0.83258,             0.83055,             0.81937,             0.84673,             0.80892,             0.81138,               0.995,               0.995,             0.99498,             0.98314,             0.99366,               0.995,               0.995,               0.995,             0.97314,               0.995,             0.99466,             0.99422,               0.995,               0.995,               0.995,             0.99424,               0.995,               0.995,               0.995,             0.97916,              0.9809,               0.995,               0.995,             0.99429,             0.98691,               0.995,             0.99492,               0.995,             0.99219,               0.995,               0.995,             0.98998,             0.99151,               0.995
                  44,            0.023745,            0.021891,            0.010026,             0.99022,             0.99097,             0.99262,              0.8236,            0.018192,            0.031106,           0.0044411,            0.005743,            0.005743,            0.005743,             0.82077,              0.8211,             0.83987,             0.80405,             0.83003,             0.80157,             0.86764,             0.83986,             0.82778,             0.80832,             0.84099,             0.81671,             0.80617,             0.82471,             0.83803,              0.8378,             0.82906,             0.81677,             0.81713,             0.81419,             0.81039,             0.83077,             0.81176,             0.84933,             0.82403,             0.77529,             0.78127,             0.84078,             0.84308,             0.81393,             0.82591,             0.84481,             0.82498,              0.8234,               0.995,               0.995,               0.995,             0.98088,             0.99493,               0.995,               0.995,               0.995,              0.9884,               0.995,             0.99498,               0.995,               0.995,               0.995,               0.995,             0.99491,               0.995,               0.995,               0.995,             0.96717,              0.9862,             0.99494,               0.995,             0.98656,             0.99289,             0.99192,             0.99478,               0.995,             0.99493,               0.995,               0.995,             0.98574,             0.99487,               0.995
                  45,            0.023841,            0.021632,            0.010254,             0.99246,             0.99068,             0.99274,             0.82514,            0.018258,            0.030975,           0.0043982,            0.005644,            0.005644,            0.005644,             0.82353,             0.82767,             0.85166,             0.82021,             0.82071,             0.80456,             0.86315,             0.83785,             0.81543,              0.8303,             0.84206,             0.80793,              0.8047,             0.84784,             0.83899,             0.83713,             0.83103,             0.81677,             0.81624,             0.81967,             0.80305,             0.82941,             0.80738,             0.83843,             0.83764,             0.77528,             0.78631,             0.84445,             0.83009,             0.83838,             0.82114,             0.85226,              0.8156,             0.81788,               0.995,               0.995,               0.995,             0.98463,             0.99488,               0.995,               0.995,             0.99485,             0.97573,               0.995,             0.99472,             0.99498,               0.995,               0.995,             0.99498,               0.995,               0.995,               0.995,               0.995,             0.98269,             0.96757,               0.995,               0.995,             0.99498,             0.99431,             0.99442,             0.99466,               0.995,             0.99115,               0.995,             0.99495,             0.99353,             0.99495,               0.995
                  46,            0.023527,            0.021832,           0.0099642,             0.99081,             0.98736,              0.9917,             0.82331,            0.018191,            0.031562,           0.0045258,            0.005545,            0.005545,            0.005545,             0.83455,              0.8191,             0.85035,             0.81336,             0.80847,             0.79845,             0.86486,             0.84502,             0.81463,             0.80606,             0.83492,             0.81054,             0.80192,             0.83204,             0.84461,             0.83699,             0.83973,             0.80864,             0.82542,             0.79446,             0.81769,             0.82277,             0.82346,             0.86214,             0.81924,             0.75981,              0.7938,             0.84497,             0.83557,             0.81562,              0.8298,             0.84864,             0.81554,             0.81948,               0.995,               0.995,               0.995,             0.97573,             0.98783,               0.995,               0.995,              0.9948,             0.98234,               0.995,             0.99286,             0.99341,               0.995,               0.995,               0.995,             0.99476,               0.995,               0.995,             0.99496,             0.95343,             0.98484,             0.99152,               0.995,             0.99483,             0.98997,             0.99376,               0.995,               0.995,               0.995,               0.995,             0.99493,             0.98898,               0.995,             0.99387
