               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,      metrics/1m_mAP,      metrics/1p_mAP,      metrics/1s_mAP,      metrics/1z_mAP,      metrics/2m_mAP,      metrics/2p_mAP,      metrics/2s_mAP,      metrics/2z_mAP,      metrics/3m_mAP,      metrics/3p_mAP,      metrics/3s_mAP,      metrics/3z_mAP,      metrics/4m_mAP,      metrics/4p_mAP,      metrics/4s_mAP,      metrics/4z_mAP,      metrics/5m_mAP,      metrics/5p_mAP,      metrics/5s_mAP,      metrics/5z_mAP,      metrics/6m_mAP,      metrics/6p_mAP,      metrics/6s_mAP,      metrics/6z_mAP,      metrics/7m_mAP,      metrics/7p_mAP,      metrics/7s_mAP,      metrics/7z_mAP,      metrics/8m_mAP,      metrics/8p_mAP,      metrics/8s_mAP,      metrics/9m_mAP,      metrics/9p_mAP,      metrics/9s_mAP,   metrics/1m_mAP_50,   metrics/1p_mAP_50,   metrics/1s_mAP_50,   metrics/1z_mAP_50,   metrics/2m_mAP_50,   metrics/2p_mAP_50,   metrics/2s_mAP_50,   metrics/2z_mAP_50,   metrics/3m_mAP_50,   metrics/3p_mAP_50,   metrics/3s_mAP_50,   metrics/3z_mAP_50,   metrics/4m_mAP_50,   metrics/4p_mAP_50,   metrics/4s_mAP_50,   metrics/4z_mAP_50,   metrics/5m_mAP_50,   metrics/5p_mAP_50,   metrics/5s_mAP_50,   metrics/5z_mAP_50,   metrics/6m_mAP_50,   metrics/6p_mAP_50,   metrics/6s_mAP_50,   metrics/6z_mAP_50,   metrics/7m_mAP_50,   metrics/7p_mAP_50,   metrics/7s_mAP_50,   metrics/7z_mAP_50,   metrics/8m_mAP_50,   metrics/8p_mAP_50,   metrics/8s_mAP_50,   metrics/9m_mAP_50,   metrics/9p_mAP_50,   metrics/9s_mAP_50
                  10,            0.033376,             0.02811,            0.026872,             0.82753,             0.92346,             0.91918,             0.67227,            0.024632,            0.037373,            0.017663,            0.009109,            0.009109,            0.009109,              0.7314,             0.67359,             0.77891,             0.67532,             0.46141,             0.71136,             0.80216,             0.72798,             0.53192,             0.71855,             0.71306,             0.69738,              0.3623,             0.75665,             0.78614,             0.76036,             0.57604,             0.71696,             0.73136,             0.71893,             0.30278,             0.75085,             0.72225,             0.70617,             0.60302,             0.71985,             0.68558,             0.75557,             0.66818,             0.69682,              0.7528,             0.46552,             0.69553,             0.70041,             0.98592,             0.99337,             0.99498,             0.93697,             0.69918,               0.995,             0.99474,             0.99405,             0.78823,               0.995,             0.99327,             0.99481,             0.49142,              0.9949,             0.99068,              0.9792,             0.78465,             0.99087,             0.98964,             0.95926,             0.39762,             0.99187,             0.97327,             0.98687,             0.84138,              0.9925,             0.99488,             0.99424,             0.90688,             0.98866,             0.99228,             0.65649,             0.99468,              0.9943
                  11,            0.032567,            0.028036,            0.023986,              0.9038,             0.93998,             0.94516,             0.68585,            0.024767,            0.037109,            0.014402,             0.00901,             0.00901,             0.00901,              0.6959,             0.73202,             0.77249,             0.73599,             0.64556,             0.68435,             0.79346,             0.70201,             0.65439,             0.68737,              0.7511,             0.70226,              0.3993,             0.76007,             0.74401,             0.70817,             0.65813,             0.70676,             0.65114,              0.6872,             0.46941,             0.73791,             0.75307,             0.79524,             0.66941,             0.68689,             0.62048,             0.69593,             0.66995,             0.74182,             0.71167,             0.46593,             0.70958,              0.7198,             0.98663,             0.93973,             0.99362,             0.97726,             0.94894,             0.96057,             0.99486,             0.99401,             0.92515,             0.98644,             0.97613,             0.99494,             0.57209,             0.99498,             0.99483,             0.98778,             0.92689,             0.99007,             0.97036,             0.97619,             0.64684,             0.99157,               0.993,             0.99172,             0.91637,             0.95651,             0.97347,             0.99031,             0.94763,             0.98925,             0.99393,             0.68553,             0.98568,             0.98218
                  12,            0.032251,             0.02768,            0.021531,             0.94165,             0.96089,             0.97353,             0.72547,            0.023497,            0.036489,            0.012068,            0.008911,            0.008911,            0.008911,              0.6394,              0.7789,              0.7876,             0.73081,             0.69437,             0.71811,             0.83612,             0.74272,             0.66883,             0.73141,             0.77383,              0.7227,             0.61243,             0.74855,              0.7774,             0.76091,              0.6863,             0.74945,             0.72807,             0.73461,             0.63616,             0.75878,             0.75974,             0.77331,             0.67776,             0.70414,             0.70382,             0.70592,             0.73463,             0.74269,             0.77397,             0.60899,             0.72589,             0.73766,              0.9915,             0.99175,             0.99461,             0.97676,              0.9335,               0.995,               0.995,             0.99489,             0.92075,               0.995,             0.97114,              0.9841,              0.8797,              0.9949,             0.99474,             0.98767,             0.96135,               0.995,             0.99442,             0.97749,             0.81523,             0.99029,             0.99397,             0.97769,             0.96547,             0.99211,             0.99455,               0.995,             0.97982,               0.995,              0.9915,              0.8902,             0.99497,             0.99496
                  13,            0.031694,            0.027495,            0.019576,             0.95965,             0.95922,             0.97268,             0.73602,            0.022975,            0.036158,            0.010688,            0.008812,            0.008812,            0.008812,             0.74529,             0.75331,             0.79721,             0.73979,             0.65182,             0.73889,             0.83104,             0.76955,             0.69733,             0.75019,             0.76838,             0.73972,             0.64668,             0.79055,              0.7434,             0.73826,             0.65302,             0.73935,             0.73937,              0.7408,             0.62325,              0.7852,             0.74084,             0.78533,              0.7158,              0.7446,              0.7027,              0.7259,             0.77194,             0.76312,             0.76767,             0.63355,             0.73739,             0.75351,             0.99488,             0.97845,             0.99498,             0.96842,             0.89517,             0.99422,               0.995,             0.99439,             0.93731,             0.98967,             0.96488,             0.97557,             0.93057,             0.99259,             0.98323,             0.98831,             0.97559,             0.99427,             0.97336,             0.98428,             0.81688,             0.97637,             0.98904,             0.99052,             0.93582,             0.98051,             0.98959,             0.99247,             0.98272,             0.98005,             0.99487,             0.94919,             0.99448,              0.9933
                  14,            0.031215,            0.027449,            0.017627,             0.97111,             0.97182,             0.98412,             0.74534,            0.022706,            0.035317,           0.0096257,            0.008713,            0.008713,            0.008713,             0.73885,             0.75642,             0.79586,             0.74509,             0.73436,             0.74184,             0.82698,             0.75736,             0.68109,             0.74907,             0.74412,              0.7326,             0.70668,              0.7961,             0.77179,             0.76325,              0.7247,             0.72104,              0.7581,             0.75172,              0.6748,              0.7468,             0.75136,             0.80787,             0.74074,             0.72712,             0.69214,             0.69686,              0.7778,              0.7496,             0.75438,             0.73884,              0.7325,             0.75363,             0.99475,             0.99075,             0.99483,             0.97041,             0.97017,               0.995,             0.99476,             0.99289,             0.96641,             0.99348,             0.97318,             0.99469,             0.99471,             0.99498,             0.99459,             0.98754,             0.99099,               0.995,             0.97822,              0.9715,             0.94951,             0.97104,             0.99348,             0.98553,             0.95875,             0.97689,             0.99123,             0.99264,             0.99392,             0.99487,             0.99452,             0.93162,              0.9943,             0.99309
                  15,            0.030828,             0.02682,            0.016987,             0.98112,             0.97527,             0.98656,             0.75214,            0.022351,            0.035532,           0.0086728,            0.008614,            0.008614,            0.008614,             0.75051,             0.77812,             0.80734,             0.74447,             0.75843,             0.74925,             0.78006,             0.74702,             0.72304,             0.73352,             0.75932,             0.76001,             0.72668,             0.77691,             0.77382,             0.77158,             0.71898,             0.74073,             0.75102,             0.79241,             0.72976,             0.74571,             0.75675,             0.80139,             0.76616,              0.7236,             0.68719,             0.74632,             0.76913,             0.74156,             0.72233,             0.76817,             0.73309,             0.73837,               0.995,             0.98386,             0.99132,             0.97374,             0.99078,               0.995,               0.995,             0.98561,             0.98172,               0.995,             0.98566,             0.99329,             0.99489,               0.995,               0.995,             0.98321,             0.99333,               0.995,             0.98452,             0.96664,             0.94971,              0.9673,             0.97789,             0.98578,              0.9829,              0.9849,             0.98669,             0.98987,              0.9935,               0.995,             0.99447,               0.976,               0.995,             0.99046
                  16,            0.030336,            0.026931,            0.016038,             0.97938,             0.97239,             0.98835,             0.76719,            0.021599,            0.034856,           0.0082471,            0.008515,            0.008515,            0.008515,             0.74261,             0.75905,             0.80983,              0.7586,             0.74527,             0.76372,             0.83029,             0.80205,             0.72381,             0.75797,             0.76664,             0.75568,              0.7328,             0.80468,              0.7932,             0.77118,             0.75367,             0.74269,             0.77712,             0.76136,             0.70907,             0.78808,             0.76462,             0.83226,             0.75587,             0.75169,             0.72469,             0.77175,             0.79154,             0.77381,             0.76616,              0.7671,             0.76285,              0.7728,             0.98354,               0.995,             0.99482,             0.97234,             0.98005,               0.995,               0.995,             0.99415,             0.97996,               0.995,             0.99284,             0.96529,             0.99231,               0.995,               0.995,               0.986,             0.98987,             0.99005,               0.995,             0.98707,             0.95729,             0.99179,               0.995,             0.99166,             0.97956,             0.99463,             0.99329,               0.995,             0.98433,               0.995,             0.99495,             0.96813,               0.995,               0.995
                  17,            0.029923,            0.026354,            0.015385,             0.98305,             0.97869,             0.98952,             0.75964,            0.021904,            0.034587,           0.0078107,            0.008416,            0.008416,            0.008416,             0.79921,             0.75763,             0.79877,             0.75973,             0.73128,             0.73832,             0.82589,             0.79296,             0.70453,             0.78348,             0.73899,              0.7768,             0.72091,             0.79257,             0.78461,             0.75302,             0.73352,             0.72551,             0.70945,             0.78151,             0.74283,             0.78259,             0.77958,             0.84015,             0.77188,             0.75799,             0.69921,              0.7588,             0.74446,             0.75125,             0.75137,              0.7314,              0.7495,             0.75811,               0.995,             0.98492,               0.995,              0.9707,             0.97312,               0.995,               0.995,             0.99186,             0.98209,               0.995,             0.99488,             0.99462,             0.98178,               0.995,               0.995,             0.99325,             0.99335,               0.995,             0.98753,             0.99205,               0.967,               0.995,               0.995,             0.99091,             0.96961,              0.9945,              0.9938,             0.99394,             0.98302,               0.995,             0.99399,             0.98197,             0.99464,               0.995
                  18,            0.029619,            0.026218,             0.01488,              0.9845,             0.98403,             0.99061,             0.77091,            0.021476,            0.034584,           0.0076132,            0.008317,            0.008317,            0.008317,             0.78438,               0.802,             0.79999,             0.75823,             0.75456,             0.73718,              0.8148,              0.7996,             0.73012,             0.74551,             0.77002,             0.76272,             0.73272,             0.79597,             0.78298,             0.77909,             0.78321,             0.76176,             0.77194,             0.73371,             0.76227,             0.77744,             0.80098,             0.81924,             0.78455,             0.71538,             0.71151,             0.77292,             0.80328,             0.75736,             0.79189,             0.79222,             0.73956,             0.78179,             0.99498,               0.995,             0.99354,             0.96884,             0.98224,               0.995,               0.995,               0.995,             0.97504,               0.995,             0.99472,             0.99473,             0.99472,               0.995,               0.995,             0.99495,             0.99402,               0.995,               0.995,              0.9749,             0.95992,             0.98977,               0.995,             0.99397,             0.98895,             0.98549,               0.995,               0.995,             0.99498,               0.995,               0.995,             0.98501,             0.99489,               0.995
                  19,               0.029,            0.025648,            0.014698,             0.98071,             0.97379,             0.98819,             0.77999,            0.021067,            0.034477,           0.0077403,            0.008218,            0.008218,            0.008218,             0.78902,             0.77916,             0.81608,             0.77478,             0.73028,             0.76347,             0.83518,             0.80176,             0.74855,             0.77884,             0.79637,             0.76666,              0.7456,             0.80254,             0.78624,             0.77635,             0.77294,             0.77982,             0.78232,             0.76672,             0.77177,             0.78695,             0.77938,             0.83782,             0.76565,             0.75951,             0.72235,             0.81183,             0.78894,             0.78228,              0.8051,             0.78838,             0.75866,             0.76843,             0.99352,             0.99473,               0.995,             0.97481,             0.97241,               0.995,               0.995,             0.99471,             0.96282,               0.995,             0.99371,             0.99479,             0.99492,               0.995,             0.99465,             0.98837,             0.99431,               0.995,             0.99468,             0.96206,              0.9682,             0.98741,               0.995,             0.98872,              0.9712,             0.98916,             0.98815,               0.995,             0.98769,               0.995,             0.99492,             0.97204,             0.99481,             0.99084
